,Sector,Sector,Sector,Sector,Sector,Sector,Purpose,Purpose,Purpose,Purpose,Purpose,Purpose,
QRVO,1,0,1,0,0,0,0,0,0,0,0,0,2
RAMP,0,1,0,0,0,0,0,0,0,0,0,0,1
RCII,0,0,0,0,0,0,0,0,0,0,1,1,2
REG,0,0,0,1,1,1,0,0,0,0,0,0,3
REGI,0,0,0,0,0,0,0,0,0,0,1,1,2
REXR,0,0,0,1,0,1,0,0,1,1,0,0,4
REZI,0,0,0,0,0,0,0,0,0,0,1,0,1
RGA,0,0,0,0,0,0,0,0,1,0,0,0,1
RGEN,0,0,0,0,0,0,0,0,1,1,0,0,2
RH,0,0,0,0,0,0,0,0,1,1,0,0,2
RHP,0,0,0,1,0,1,0,0,0,0,0,0,2
RLJ,0,0,0,1,0,1,0,0,0,0,0,0,2
RNG,0,1,0,0,0,0,0,0,0,0,0,0,1
ROCK,0,0,0,0,0,0,0,0,0,0,0,1,1
ROG,0,0,0,0,0,0,0,0,0,0,1,1,2
ROIC,0,0,0,1,0,1,0,0,0,0,0,0,2
ROKU,0,0,0,0,0,0,0,1,0,0,0,0,1
RPD,0,1,0,0,0,0,0,0,0,0,0,0,1
RPM,0,0,0,0,0,0,0,0,1,1,0,0,2
RRC,0,0,0,0,0,0,0,0,0,0,1,1,2
RRX,0,0,0,0,0,0,0,0,1,1,0,0,2
RS,0,0,0,0,0,0,0,0,1,0,0,0,1
RTX,0,0,0,0,0,0,1,0,0,0,0,0,1
RUN,0,0,0,0,0,0,0,0,1,1,0,0,2
RYT,1,0,0,0,0,0,0,0,0,0,0,0,1
SAIA,0,0,0,0,0,0,0,0,1,1,0,0,2
SAIL,0,1,0,0,0,0,0,0,0,0,0,0,1
SAM,0,0,0,0,0,0,0,0,0,1,0,0,1
SBAC,0,0,0,0,1,0,0,0,0,0,0,0,1
SBNY,0,0,0,0,0,0,0,0,1,1,0,0,2
SBRA,0,0,0,1,0,0,0,0,0,0,0,0,1
SBUX,0,0,0,0,0,0,1,1,0,0,0,0,2
SCHW,0,0,0,0,0,0,1,1,0,0,0,0,2
SCI,0,0,0,0,0,0,0,0,1,1,0,0,2
SCPL,0,1,0,0,0,0,0,0,0,0,0,0,1
SEDG,0,0,0,0,0,0,0,0,1,1,0,0,2
SEM,0,0,0,0,0,0,0,0,0,0,1,1,2
SFBS,0,0,0,0,0,0,0,0,0,0,1,1,2
SFNC,0,0,0,0,0,0,0,0,0,0,1,0,1
SHAK,0,0,0,0,0,0,0,0,0,0,0,1,1
SHO,0,0,0,1,0,1,0,0,0,0,0,0,2
SHOO,0,0,0,0,0,0,0,0,0,0,1,0,1
SIG,0,0,0,0,0,0,0,0,0,0,1,0,1
SITC,0,0,0,1,0,1,0,0,0,0,1,0,3
SIVB,0,0,0,0,0,0,0,1,0,0,0,0,1
SKT,0,0,0,0,0,1,0,0,0,0,0,0,1
SLG,0,0,0,1,0,1,0,0,0,0,0,0,2
SLM,0,0,0,0,0,0,0,0,0,1,0,0,1
SM,0,0,0,0,0,0,0,0,0,0,1,0,1
SMG,0,0,0,0,0,0,0,0,0,1,0,0,1
SMPL,0,0,0,0,0,0,0,0,0,0,1,0,1
SMTC,0,0,0,0,0,0,0,0,0,1,0,0,1
SNBR,0,0,0,0,0,0,0,0,0,0,0,1,1
SNPS,1,1,1,0,0,0,0,1,0,0,0,0,4
SPG,0,0,0,1,1,1,0,0,0,0,0,0,3
SPGI,0,0,0,0,0,0,1,1,0,0,0,0,2
SPLK,0,1,0,0,0,0,0,0,0,0,0,0,1
SPSC,0,1,0,0,0,0,0,0,0,0,1,1,3
SQ,0,1,0,0,0,0,1,1,0,0,0,0,3
SRC,0,0,0,1,0,1,0,0,0,0,0,0,2
SSD,0,0,0,0,0,0,0,0,0,1,0,0,1
SSNC,0,1,0,0,0,0,0,0,0,0,0,0,1
SSTK,0,0,0,0,0,0,0,0,0,0,1,1,2
STAA,0,0,0,0,0,0,0,0,0,1,0,0,1
STAG,0,0,0,1,0,1,0,0,0,0,0,0,2
STLD,0,0,0,0,0,0,0,0,1,0,0,0,1
STOR,0,0,0,1,0,1,0,0,1,0,0,0,3
STX,1,0,1,0,0,0,0,0,0,0,0,0,2
SUI,0,0,0,1,0,1,0,0,0,0,0,0,2
SVC,0,0,0,0,0,1,0,0,0,0,0,0,1
SWKS,1,0,1,0,0,0,0,1,0,0,0,0,3
SWN,0,0,0,0,0,0,0,0,0,0,1,1,2
SYK,0,0,0,0,0,0,1,0,0,0,0,0,1
SYNH,0,0,0,0,0,0,0,0,1,1,0,0,2
T,0,0,0,0,0,0,1,0,0,0,0,0,1
TBK,0,0,0,0,0,0,0,0,0,0,0,1,1
TDC,0,1,0,0,0,0,0,0,0,0,0,0,1
TDY,1,0,1,0,0,0,0,0,0,0,0,0,2
TEAM,0,0,0,0,0,0,0,1,0,0,0,0,1
TEL,1,0,1,0,0,0,0,0,0,0,0,0,2
TENB,0,1,0,0,0,0,0,0,0,0,0,0,1
TER,1,0,1,0,0,0,0,0,0,0,0,0,2
TGT,0,0,0,0,0,0,1,1,0,0,0,0,2
TJX,0,0,0,0,0,0,1,1,0,0,0,0,2
TKR,0,0,0,0,0,0,0,0,0,1,0,0,1
TMO,0,0,0,0,0,0,1,1,0,0,0,0,2
TMUS,0,0,0,0,0,0,0,1,0,0,0,0,1
TNDM,0,0,0,0,0,0,0,0,1,1,0,0,2
TPX,0,0,0,0,0,0,0,0,1,1,0,0,2
TREE,0,0,0,0,0,0,0,0,0,0,0,1,1
TREX,0,0,0,0,0,0,0,0,1,1,0,0,2
TRGP,0,0,0,0,0,0,0,0,1,0,0,0,1
TRMB,1,0,1,0,0,0,0,0,0,0,0,0,2
TRNO,0,0,0,1,0,1,0,0,0,0,0,0,2
TRUP,0,0,0,0,0,0,0,0,0,0,1,1,2
TSLA,0,0,0,0,0,0,1,1,0,0,0,0,2
TTC,0,0,0,0,0,0,0,0,1,1,0,0,2
TTD,0,1,0,0,0,0,0,0,0,0,0,0,1
TTEK,0,0,0,0,0,0,0,0,1,1,0,0,2
TTGT,0,0,0,0,0,0,0,0,0,0,0,1,1
TTWO,0,1,0,0,0,0,0,0,0,0,0,0,1
TWLO,0,0,0,0,0,0,0,1,0,0,0,0,1
TXN,1,0,1,0,0,0,1,1,0,0,0,0,4
TXRH,0,0,0,0,0,0,0,0,0,1,0,0,1
TYL,1,1,1,0,0,0,0,0,0,0,0,0,3
UCBI,0,0,0,0,0,0,0,0,0,0,1,0,1
UCTT,0,0,0,0,0,0,0,0,0,0,0,1,1
UDR,0,0,0,1,1,1,0,0,0,0,0,0,3
UE,0,0,0,1,0,1,0,0,0,0,0,0,2
UFPI,0,0,0,0,0,0,0,0,0,0,1,1,2
UGI,0,0,0,0,0,0,0,0,1,0,0,0,1
UIS,0,1,0,0,0,0,0,0,0,0,0,0,1
UNF,0,0,0,0,0,0,0,0,0,0,1,0,1
UNH,0,0,0,0,0,0,1,1,0,0,0,0,2
UNIT,0,0,0,0,0,0,0,0,0,0,1,1,2
UNP,0,0,0,0,0,0,1,0,0,0,0,0,1
UPS,0,0,0,0,0,0,1,1,0,0,0,0,2
USB,0,0,0,0,0,0,1,0,0,0,0,0,1
UTHR,0,0,0,0,0,0,0,0,1,0,0,0,1
V,1,0,1,0,0,0,1,1,0,0,0,0,4
VCEL,0,0,0,0,0,0,0,0,0,0,0,1,1
VEEV,0,0,0,0,0,0,0,1,0,0,0,0,1
VER,0,0,0,1,1,1,0,0,0,0,0,0,3
VERI,0,1,0,0,0,0,0,0,0,0,0,0,1
VERX,0,1,0,0,0,0,0,0,0,0,0,0,1
VG,0,1,0,0,0,0,0,0,0,0,1,1,3
VIAV,0,0,0,0,0,0,0,0,0,0,1,1,2
VICI,0,0,0,1,0,0,0,0,0,0,0,0,1
VICR,0,0,0,0,0,0,0,0,0,0,1,1,2
VMW,0,1,0,0,0,0,0,0,0,0,0,0,1
VNO,0,0,0,1,1,1,0,0,0,0,0,0,3
VRNT,0,1,0,0,0,0,0,0,0,0,0,0,1
VRRM,0,1,0,0,0,0,0,0,0,0,0,0,1
VRSN,1,0,1,0,0,0,0,0,0,0,0,0,2
VRTS,0,0,0,0,0,0,0,0,0,0,0,1,1
VSTO,0,0,0,0,0,0,0,0,0,0,0,1,1
VTR,0,0,0,1,1,1,0,0,0,0,0,0,3
VZ,0,0,0,0,0,0,1,1,0,0,0,0,2
WD,0,0,0,0,0,0,0,0,0,0,1,1,2
WDAY,0,1,0,0,0,0,0,0,0,0,0,0,1
WDC,1,0,1,0,0,0,0,0,0,0,0,0,2
WDFC,0,0,0,0,0,0,0,0,0,0,1,1,2
WELL,0,0,0,1,1,1,0,0,0,0,0,0,3
WFC,0,0,0,0,0,0,1,0,0,0,0,0,1
WING,0,0,0,0,0,0,0,0,0,1,0,0,1
WK,0,1,0,0,0,0,0,0,0,0,0,0,1
WLTW,0,0,0,0,0,0,0,1,0,0,0,0,1
WMT,0,0,0,0,0,0,1,0,0,0,0,0,1
WOLF,0,0,0,0,0,0,0,0,1,1,0,0,2
WPC,0,0,0,1,0,1,0,0,0,0,0,0,2
WRE,0,0,0,1,0,1,0,0,0,0,0,0,2
WSM,0,0,0,0,0,0,0,0,1,1,0,0,2
WSO,0,0,0,0,0,0,0,0,1,1,0,0,2
WST,0,0,0,0,0,0,0,1,0,0,0,0,1
WTRG,0,0,0,0,0,0,0,0,1,1,0,0,2
WTS,0,0,0,0,0,0,0,0,0,0,1,1,2
WU,1,0,1,0,0,0,0,0,0,0,0,0,2
WY,0,0,0,0,1,0,0,0,0,0,0,0,1
XHR,0,0,0,1,0,1,0,0,0,0,0,0,2
XLNX,1,0,1,0,0,0,0,0,0,0,0,0,2
XNCR,0,0,0,0,0,0,0,0,0,0,0,1,1
XOM,0,0,0,0,0,0,1,0,0,0,0,0,1
XPO,0,0,0,0,0,0,0,0,1,0,0,0,1
Y,0,0,0,0,0,0,0,0,1,0,0,0,1
YETI,0,0,0,0,0,0,0,0,1,1,0,0,2
ZBRA,1,0,1,0,0,0,0,0,0,0,0,0,2
ZIXI,0,1,0,0,0,0,0,0,0,0,0,0,1
ZM,0,0,0,0,0,0,0,1,0,0,0,0,1
ZS,0,1,0,0,0,0,0,0,0,0,0,0,1
ZTS,0,0,0,0,0,0,1,1,0,0,0,0,2
ZUO,0,1,0,0,0,0,0,0,0,0,0,0,1
